Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /booking,1127,0,310,334.0815430362035,297.23060003016144,853.8898999104276,34470.62023070097,19.086437654343825,0.0,310,310,310,310,330,500,780,800,830,850,850
GET,GET /booking com filtro por data,678,0,150.6338999606669,185.07854424806445,150.6338999606669,659.0815000236034,2.0,11.482346698886525,0.0,150,160,160,160,170,620,630,630,660,660,660
GET,GET /booking/{id},736,0,150.1543999183923,156.56636765988483,150.1543999183923,567.8994000190869,159.2513586956522,12.464612345693928,0.0,150,150,160,160,160,170,170,170,570,570,570
GET,GET /ping,215,0,150,177.00543860894044,149.4636998977512,653.0273000244051,7.0,3.6411571390274378,0.0,150,160,160,160,160,170,630,640,650,650,650
POST,POST /auth,465,0,150,190.79118731321506,149.82900000177324,670.726399985142,27.0,7.875060789059343,0.0,150,160,160,160,170,620,630,640,670,670,670
POST,POST /booking,219,0,150.56119998916984,183.5349379038251,150.56119998916984,641.4060000097379,198.0,3.7088995974279486,0.0,150,160,160,160,170,620,630,630,640,640,640
,Aggregated,3440,0,160,227.96343645411895,149.4636998977512,853.8898999104276,11344.29534883721,58.258514224439004,0.0,160,300,300,310,310,450,640,770,830,850,850
