Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1782001478,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1782001479,10,,Aggregated,0.000000,0.000000,820,820,830,830,830,830,830,830,830,830,830,9,0,820,754.0436000175154,653.0273000244051,833.5116999223828,15918.888888888889
1782001480,20,,Aggregated,0.000000,0.000000,670,820,820,830,830,830,830,830,830,830,830,17,0,670,729.5546000207062,638.1530000362545,833.5116999223828,13510.941176470587
1782001481,30,,Aggregated,0.000000,0.000000,640,670,790,790,830,830,830,830,830,830,830,32,0,640,601.6258906311123,153.7976999534294,833.5116999223828,8996.5
1782001482,50,,Aggregated,4.500000,0.000000,630,640,670,780,820,830,830,830,830,830,830,44,0,630,525.9991068213077,151.6635000007227,833.5116999223828,7219.454545454545
1782001483,60,,Aggregated,6.333333,0.000000,620,630,650,670,790,830,830,830,830,830,830,64,0,620,499.44491094174737,151.22760005760938,833.5116999223828,6795.640625
1782001484,70,,Aggregated,8.750000,0.000000,620,630,640,670,790,820,830,830,830,830,830,86,0,610,479.1492116312648,151.22760005760938,833.5116999223828,7449.383720930233
1782001485,80,,Aggregated,10.200000,0.000000,610,630,640,650,790,820,830,830,830,830,830,111,0,610,457.5333342381946,151.18209994398057,833.5116999223828,8159.954954954955
1782001486,90,,Aggregated,12.333333,0.000000,610,630,630,640,780,810,830,830,830,830,830,140,0,600,440.19986643189833,151.18209994398057,833.5116999223828,8161.071428571428
1782001487,100,,Aggregated,13.142857,0.000000,330,620,630,640,780,800,830,830,830,830,830,176,0,320,435.37506761772835,151.18209994398057,833.5116999223828,8687.8125
1782001488,110,,Aggregated,15.000000,0.000000,310,620,630,630,770,790,820,830,830,830,830,219,0,310,408.79118173929635,150.6338999606669,833.5116999223828,9304.712328767124
1782001489,120,,Aggregated,17.333333,0.000000,310,620,630,630,770,790,820,830,830,830,830,267,0,310,393.5362468172765,150.6338999606669,833.5116999223828,9663.329588014982
1782001490,130,,Aggregated,19.100000,0.000000,300,610,620,630,760,790,810,830,830,830,830,324,0,300,376.72026327129936,150.41959995869547,833.5116999223828,9559.496913580248
1782001491,140,,Aggregated,23.600000,0.000000,300,320,620,630,760,780,810,830,830,830,830,371,0,300,363.81200997119976,150.41959995869547,833.5116999223828,9665.318059299192
1782001492,150,,Aggregated,28.100000,0.000000,300,310,620,630,760,780,800,820,830,830,830,430,0,300,354.6025672082811,150.41959995869547,833.5116999223828,10332.53488372093
1782001493,150,,Aggregated,32.100000,0.000000,300,310,620,620,670,780,800,820,830,830,830,494,0,300,345.2235076919119,150.41959995869547,833.5116999223828,10058.497975708502
1782001494,150,,Aggregated,36.000000,0.000000,300,310,610,620,640,780,800,820,830,830,830,556,0,300,331.24283669083445,150.41959995869547,833.5116999223828,10057.356115107914
1782001495,150,,Aggregated,41.000000,0.000000,160,310,320,620,640,780,790,810,830,830,830,618,0,160,318.9103867316884,150.41959995869547,833.5116999223828,9861.525889967637
1782001496,150,,Aggregated,44.800000,0.000000,160,310,310,610,630,770,790,810,830,830,830,677,0,160,308.9885252587734,150.41959995869547,833.5116999223828,9933.722304283605
1782001497,150,,Aggregated,49.200000,0.000000,160,310,310,610,630,770,790,810,830,830,830,743,0,160,300.3140650062871,150.41959995869547,833.5116999223828,10119.399730820996
1782001498,150,,Aggregated,52.500000,0.000000,160,300,310,320,630,770,790,800,830,830,830,807,0,160,292.6600510527148,150.41959995869547,833.5116999223828,10149.654275092937
1782001499,150,,Aggregated,55.300000,0.000000,160,300,310,310,630,760,790,800,830,830,830,877,0,160,285.2514995432734,150.41959995869547,833.5116999223828,10000.071835803878
1782001500,150,,Aggregated,57.700000,0.000000,160,300,310,310,630,760,790,800,830,830,830,946,0,160,279.93835073841115,150.41959995869547,833.5116999223828,10126.867864693446
1782001501,150,,Aggregated,59.600000,0.000000,160,300,310,310,630,670,780,800,830,830,830,1001,0,160,275.7214092895841,150.41959995869547,833.5116999223828,10157.14985014985
1782001502,150,,Aggregated,61.800000,0.000000,160,300,310,310,620,650,780,800,830,830,830,1078,0,160,271.1340806115218,150.41959995869547,833.5116999223828,10311.73840445269
1782001503,150,,Aggregated,63.000000,0.000000,160,300,310,310,620,640,780,800,830,830,830,1141,0,160,266.9254460114509,150.2458999166265,833.5116999223828,10234.09991235758
1782001504,150,,Aggregated,64.500000,0.000000,160,300,310,310,620,640,780,790,830,830,830,1201,0,160,264.95153180563545,150.2458999166265,833.5116999223828,10275.721898417985
1782001505,150,,Aggregated,64.000000,0.000000,160,300,310,310,620,640,780,800,830,850,850,1276,0,160,262.71253001480585,150.2458999166265,853.8898999104276,10250.12695924765
1782001506,150,,Aggregated,64.900000,0.000000,160,300,310,310,610,640,780,790,830,850,850,1341,0,160,259.906433854932,150.2458999166265,853.8898999104276,10306.395227442208
1782001507,150,,Aggregated,65.100000,0.000000,160,300,310,310,610,630,780,790,830,850,850,1419,0,160,256.84727314981706,150.2458999166265,853.8898999104276,10337.157152924594
1782001508,150,,Aggregated,66.200000,0.000000,160,300,310,310,610,630,780,790,830,850,850,1480,0,160,255.052629256986,150.2458999166265,853.8898999104276,10440.060135135134
1782001509,150,,Aggregated,67.000000,0.000000,160,300,310,310,460,630,780,790,830,850,850,1558,0,160,251.78166097578494,150.2458999166265,853.8898999104276,10228.37483953787
1782001510,150,,Aggregated,67.700000,0.000000,160,300,310,310,340,630,770,790,830,850,850,1623,0,160,249.65595582249625,149.82900000177324,853.8898999104276,10224.53234750462
1782001511,150,,Aggregated,67.700000,0.000000,160,300,310,310,340,630,770,790,830,850,850,1685,0,160,248.08881020764835,149.82900000177324,853.8898999104276,10260.553709198814
1782001512,150,,Aggregated,67.400000,0.000000,160,300,310,310,340,630,770,790,830,850,850,1755,0,160,246.08355270648252,149.82900000177324,853.8898999104276,10248.855270655271
1782001513,150,,Aggregated,67.300000,0.000000,160,300,310,310,330,630,770,790,830,850,850,1827,0,160,244.44006256177792,149.82900000177324,853.8898999104276,10304.19540229885
1782001514,150,,Aggregated,67.800000,0.000000,160,300,310,310,330,630,770,790,830,850,850,1885,0,160,243.62915755973373,149.82900000177324,853.8898999104276,10360.055172413793
1782001515,150,,Aggregated,67.700000,0.000000,160,300,310,310,330,630,770,790,830,850,850,1952,0,160,242.59847223381303,149.82900000177324,853.8898999104276,10439.598872950819
1782001516,150,,Aggregated,67.900000,0.000000,160,300,310,310,330,630,770,780,830,850,850,2019,0,160,241.33541842520333,149.82900000177324,853.8898999104276,10480.21446260525
1782001517,150,,Aggregated,67.600000,0.000000,160,300,310,310,320,620,770,780,830,850,850,2078,0,160,241.54296102030497,149.82900000177324,853.8898999104276,10764.432146294514
1782001518,150,,Aggregated,68.200000,0.000000,160,300,310,310,320,620,770,780,830,850,850,2144,0,160,240.1810962220401,149.82900000177324,853.8898999104276,10750.76958955224
1782001519,150,,Aggregated,66.600000,0.000000,160,300,310,310,320,620,760,780,830,850,850,2217,0,160,239.26877334239663,149.82900000177324,853.8898999104276,10819.015787099685
1782001520,150,,Aggregated,66.800000,0.000000,160,300,310,310,320,620,760,780,830,850,850,2295,0,160,238.36964675421117,149.82900000177324,853.8898999104276,10893.392592592592
1782001521,150,,Aggregated,67.400000,0.000000,160,300,310,310,320,620,760,780,830,850,850,2356,0,160,237.2877086165475,149.82900000177324,853.8898999104276,10874.536926994906
1782001522,150,,Aggregated,66.500000,0.000000,160,300,310,310,320,620,760,780,830,850,850,2428,0,160,236.3920275537532,149.82900000177324,853.8898999104276,10897.323723228996
1782001523,150,,Aggregated,67.100000,0.000000,160,300,310,310,320,620,760,780,830,850,850,2500,0,160,235.03719056039117,149.82900000177324,853.8898999104276,10818.4248
1782001524,150,,Aggregated,66.600000,0.000000,160,300,310,310,310,620,670,780,830,850,850,2563,0,160,234.13124959107373,149.82900000177324,853.8898999104276,10811.487709715178
1782001525,150,,Aggregated,68.500000,0.000000,160,300,310,310,310,620,660,780,830,850,850,2625,0,160,233.6079120769476,149.4636998977512,853.8898999104276,10852.539809523809
1782001526,150,,Aggregated,67.200000,0.000000,160,300,310,310,310,610,650,780,830,850,850,2714,0,160,232.99224093663125,149.4636998977512,853.8898999104276,10975.839719970523
1782001527,150,,Aggregated,67.800000,0.000000,160,300,310,310,310,610,640,780,830,850,850,2759,0,160,232.47147002603404,149.4636998977512,853.8898999104276,10986.401232330554
1782001528,150,,Aggregated,67.200000,0.000000,160,300,300,310,310,610,640,780,830,850,850,2836,0,160,231.55974809652423,149.4636998977512,853.8898999104276,10953.638575458392
1782001529,150,,Aggregated,68.200000,0.000000,160,300,300,310,310,610,640,780,830,850,850,2899,0,160,231.15681466062128,149.4636998977512,853.8898999104276,11014.765781303899
1782001530,150,,Aggregated,68.100000,0.000000,160,300,300,310,310,610,640,780,830,850,850,2962,0,160,230.90034800865874,149.4636998977512,853.8898999104276,11062.390614449696
1782001531,150,,Aggregated,68.800000,0.000000,160,300,300,310,310,610,640,780,830,850,850,3037,0,160,230.74213523289833,149.4636998977512,853.8898999104276,11202.709911096477
1782001532,150,,Aggregated,67.500000,0.000000,160,300,300,310,310,600,640,780,830,850,850,3097,0,160,230.19256251284503,149.4636998977512,853.8898999104276,11220.741039715855
1782001533,150,,Aggregated,68.400000,0.000000,160,300,300,310,310,500,640,780,830,850,850,3169,0,160,229.9078631750918,149.4636998977512,853.8898999104276,11293.32691700852
