Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /booking,161,0,310,324.54058695483303,152.5733000598848,707.0584000321105,16361.42857142857,2.728038881801743,0.0,310,310,320,320,330,350,640,660,710,710,710
GET,GET /booking com filtro por data,105,0,160,201.70317333235982,151.01770008914173,714.6336999721825,2.0,1.7791557924793975,0.0,160,160,170,170,180,630,640,650,710,710,710
GET,GET /booking/{id},92,0,160,159.81867609662004,150.62159998342395,221.42580000218004,159.32608695652175,1.5588793610295673,0.0,160,160,160,160,170,180,180,220,220,220,220
GET,GET /ping,39,0,160,174.44602819159627,151.15990000776947,671.7776999576017,7.0,0.6608292943494904,0.0,160,160,160,160,180,220,670,670,670,670,670
POST,POST /auth,52,0,160,168.89671347318932,151.8964999122545,648.9428000058979,27.0,0.8811057257993207,0.0,160,160,160,160,180,190,200,650,650,650,650
POST,POST /booking,41,0,160,172.2044951378981,152.12159999646246,616.7777000227943,198.0,0.6947179761110028,0.0,160,160,160,170,170,200,620,620,620,620,620
,Aggregated,490,0,160,226.0808049005038,150.62159998342395,714.6336999721825,5426.230612244898,8.302727031570521,0.0,160,300,310,310,320,340,630,650,710,710,710
