Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /booking,591,0,310,348.1095428101863,297.9341000318527,819.323500036262,24484.688663282574,10.011370974621151,0.0,310,310,310,320,450,770,780,780,820,820,820
GET,GET /booking com filtro por data,330,0,150.68580000661314,189.63387727553985,150.68580000661314,638.6279000435024,2.0,5.590105620346836,0.0,150,160,160,160,170,610,630,630,640,640,640
GET,GET /booking/{id},408,0,150,158.76084019677648,149.31010000873357,336.24659990891814,159.68872549019608,6.911403312428815,0.0,150,150,160,160,170,170,210,250,340,340,340
GET,GET /ping,87,0,150,186.60495632285273,149.83979996759444,640.4516000766307,7.0,1.4737551180914386,0.0,150,160,160,170,170,620,630,640,640,640,640
POST,POST /auth,215,0,150.20180004648864,185.1317962815682,150.20180004648864,634.8955000285059,27.0,3.642038510225969,0.0,150,160,160,160,170,610,630,630,630,630,630
POST,POST /booking,93,0,150,161.54701720612744,149.91410006769001,616.7817000532523,198.0,1.5753934020977447,0.0,150,150,160,160,170,170,220,620,620,620,620
,Aggregated,1724,0,160,234.42469959560805,149.31010000873357,819.323500036262,8446.109048723898,29.204066937811955,0.0,160,300,300,310,320,510,760,770,790,820,820
